[DEBUG] 2024-02-23 21-22-35.162 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2024-02-23 21-22-35.170 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2024-02-23 21-22-35.173 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2024-02-23 21-22-35.255 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2024-02-23 21-22-35.258 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2024-02-23 21-22-35.541 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2024-02-23 21-22-35.544 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2024-02-23 21-22-35.555 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2024-02-23 21-22-35.842 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2024-02-23 21-22-35.858 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2024-02-23 21-22-35.859 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2024-02-23 21-22-35.873 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2024-02-23 21-22-35.897 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@31a3f4de
[DEBUG] 2024-02-23 21-22-35.898 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@31a3f4de
[DEBUG] 2024-02-23 21-22-35.898 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@31a3f4de
[DEBUG] 2024-02-23 21-22-35.898 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6f3e19b3
[DEBUG] 2024-02-23 21-22-35.899 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@b16e202
[DEBUG] 2024-02-23 21-22-35.899 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@10c07b8d
[DEBUG] 2024-02-23 21-22-35.900 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7342e05d
[DEBUG] 2024-02-23 21-22-35.900 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7342e05d
[DEBUG] 2024-02-23 21-22-35.900 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7342e05d
[DEBUG] 2024-02-23 21-22-35.901 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@71978f46
[DEBUG] 2024-02-23 21-22-35.901 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@71978f46
[DEBUG] 2024-02-23 21-22-35.901 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@71978f46
[DEBUG] 2024-02-23 21-22-35.902 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@cf518cf
[DEBUG] 2024-02-23 21-22-35.902 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@cf518cf
[DEBUG] 2024-02-23 21-22-35.902 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@cf518cf
[DEBUG] 2024-02-23 21-22-35.903 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@f91da5e
[DEBUG] 2024-02-23 21-22-35.903 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@f91da5e
[DEBUG] 2024-02-23 21-22-35.903 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@f91da5e
[DEBUG] 2024-02-23 21-22-35.904 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ed16657
[DEBUG] 2024-02-23 21-22-35.904 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ed16657
[DEBUG] 2024-02-23 21-22-35.904 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6ed16657
[DEBUG] 2024-02-23 21-22-35.905 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7b6e5c12
[DEBUG] 2024-02-23 21-22-35.905 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7b6e5c12
[DEBUG] 2024-02-23 21-22-35.905 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7b6e5c12
[DEBUG] 2024-02-23 21-22-35.906 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4ee6291f
