[DEBUG] 2024-02-23 21-11-50.819 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2024-02-23 21-11-50.826 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2024-02-23 21-11-50.829 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2024-02-23 21-11-50.892 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2024-02-23 21-11-50.895 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2024-02-23 21-11-51.103 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2024-02-23 21-11-51.106 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2024-02-23 21-11-51.113 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2024-02-23 21-11-51.417 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2024-02-23 21-11-51.434 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2024-02-23 21-11-51.435 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2024-02-23 21-11-51.448 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2024-02-23 21-11-51.469 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3ad4a7d6
[DEBUG] 2024-02-23 21-11-51.469 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3ad4a7d6
[DEBUG] 2024-02-23 21-11-51.469 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3ad4a7d6
[DEBUG] 2024-02-23 21-11-51.470 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@f91da5e
[DEBUG] 2024-02-23 21-11-51.470 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@49c675f0
[DEBUG] 2024-02-23 21-11-51.472 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1442f788
[DEBUG] 2024-02-23 21-11-51.473 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@124ac145
[DEBUG] 2024-02-23 21-11-51.473 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@124ac145
[DEBUG] 2024-02-23 21-11-51.473 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@124ac145
[DEBUG] 2024-02-23 21-11-51.474 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@37e0292a
